superdistrict,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
33,62510,170554,8076,8860,13281,32293,47563.0,14959.0,45455,204,3110,3809,9914,17059,11359,0.657128440174,29875080.4761,657.245198022
9,137246,360763,30196,23534,30446,53070,62698.0,74548.0,501698,3516,110246,23497,181266,127353,55820,1.09450062203,275171882.387,548.481122881
17,154291,417607,30310,26944,35333,61704,104231.0,45873.0,164153,313,39441,19850,19230,45844,39475,0.740139689728,132618496.39,807.895660697
16,120800,337483,17391,17008,26021,60380,85627.0,29451.0,183984,784,51624,21241,29350,48530,32455,0.705384983708,136746976.025,743.254717935
18,281619,700628,97732,60176,54764,68947,104280.0,175859.0,285298,484,24570,14728,68547,109061,67908,1.35030207135,177357699.687,621.657704179
24,166140,443337,37857,30632,37788,59863,138575.0,26905.0,100873,906,6781,17087,13431,35115,27553,0.599458776836,64706880.1836,641.468779392
34,56989,159357,4704,6271,10366,35648,32174.0,24815.0,32498,179,1436,3102,6851,12824,8106,0.88563747125,20431385.813,628.696714045
30,100970,268422,18838,18707,24039,39386,74409.0,26610.0,106786,1994,9575,14745,16413,38110,25949,0.678479753793,73824026.5518,691.326827035
32,29204,80454,3358,4061,6108,15677,22667.0,6542.0,26703,212,1609,1939,7124,10178,5641,0.644196408876,16451294.2455,616.084119592
27,38532,103702,7659,7236,8923,14714,28743.0,9638.0,49704,591,11527,10085,3527,12403,11571,0.670284938942,41183120.9758,828.567539348
10,134431,363797,21958,19716,28391,64366,93598.0,40826.0,198899,776,19473,30549,35377,80176,32548,0.71812966089,100086511.979,503.202690708
1,118603,266652,57357,26784,17655,16807,1784.0,121844.0,347066,243,9060,8484,170999,90989,67291,33.2407511211,197965226.8,570.39648597
15,100645,278743,11974,13094,22324,53253,81930.0,15580.0,123037,1523,18547,15691,25900,32000,29376,0.614213352862,84285176.7702,685.039270871
3,180782,454074,57980,37562,35991,49249,61605.0,119709.0,165249,168,13129,6828,41683,56871,46570,1.46726726727,144412023.644,873.905582752
6,114713,310669,16801,16027,23534,58351,72718.0,42159.0,186448,793,10315,7071,78145,66671,23453,0.788752440936,90013791.5112,482.782285201
31,40399,108556,6131,7023,9740,17505,34299.0,6100.0,19616,1723,2291,2888,2929,5126,4659,0.588923875332,19316547.9629,984.734296643
7,111064,303675,17746,15368,21895,56055,69865.0,40916.0,228180,1098,22292,6895,93998,73262,30635,0.794847205325,115163709.418,504.705536937
19,93476,228214,31705,19634,18426,23711,39108.0,51246.0,102952,92,8106,6776,20953,41507,25518,1.19510074665,80603259.4856,782.920773619
29,84403,224908,14606,14916,19637,35244,66405.0,18134.0,124105,2637,8449,8709,36440,43571,24299,0.635516903848,72570533.4407,584.751085296
12,160167,450675,28364,25262,35569,70972,112659.0,47506.0,122259,499,27574,20529,15306,33710,24641,0.710848667217,83570362.0305,683.551820565
23,64559,183337,4833,6186,12203,41337,58078.0,6417.0,56719,602,4500,5583,14094,17108,14832,0.55579565412,40540661.5179,714.76333359
22,75635,204082,9882,10200,15689,39864,50496.0,25068.0,120082,736,4976,7009,39840,46231,21290,0.748920706591,56497530.6706,470.491253232
2,121974,292610,38341,25313,23866,34454,18888.0,103086.0,45534,38,1458,3938,6699,17080,16321,3.22887547649,47864421.9561,1051.17982071
5,117104,321736,19037,18280,26232,53555,82970.0,34261.0,281500,2077,17076,10458,135898,80053,35938,0.705700855731,147492856.5,523.953309058
14,37185,104737,5791,5547,8346,17501,28625.0,8539.0,49660,1353,13733,10502,4237,10297,9538,0.649519650655,39529184.0,795.9964559
8,94894,251435,17766,14466,18983,43679,58338.0,36410.0,147600,519,14002,9398,43228,59698,20755,0.813312077891,86904104.3704,588.781194921
11,162463,426631,40852,31066,36083,54462,74599.0,87864.0,258055,637,37689,28912,48881,85027,56909,1.08890869851,134391145.507,520.784892783
20,128851,341451,29244,23104,28493,48010,89970.0,38785.0,114964,394,14337,12031,22062,37333,28807,0.716077581416,71546053.5011,622.334413391
28,19061,51666,2968,3194,4295,8604,16082.0,2946.0,15573,1117,2455,3313,1041,3954,3693,0.592619077229,14854983.251,953.893485586
21,122408,325657,22777,20614,27862,51155,85706.0,36648.0,141096,676,12877,12118,37948,44888,32589,0.714115697851,80413953.7712,569.92369572
13,99369,270810,18493,15597,21869,43410,74217.0,25167.0,61439,295,9729,16495,6406,18096,10418,0.669449048062,38302685.8229,623.426257311
4,62613,161043,15877,12026,13321,21389,35927.0,26686.0,16447,15,487,2178,2329,7051,4387,0.871391989312,20377510.7545,1238.98040703
26,105334,285784,18436,19095,25374,42429,81165.0,16267.0,105769,2048,17745,19699,11381,30727,24169,0.648888067517,71715724.4235,678.04105573
25,61983,168046,10909,10259,14495,26320,39406.0,19514.0,137468,781,12225,9661,42359,49088,23354,0.78646652794,69728018.1675,507.230905866
